day,cases,cases_per_mln_cum,deaths,recovered,tests,positives,positives_tests_ratio,hospitalized,quaran,supervised,deaths_recovered_ratio
2020-05-10,345,416.8,15,261,14312,385,0.026900503,2598,97002,17051,0.057471264
2020-05-11,330,425.4,11,118,16560,355,0.021437198,2571,96211,17771,0.093220339
2020-05-12,556,439.9,28,315,20346,501,0.024624005,2648,96062,18009,0.088888889
2020-05-13,322,448.3,23,279,26235,407,0.015513627,2538,96708,18256,0.082437276
2020-05-14,411,459,22,286,21919,381,0.01738218,2579,95068,18363,0.076923077
2020-05-15,401,469.4,24,222,25118,334,0.013297237,2407,90386,18355,0.108108108
2020-05-16,241,475.7,8,257,18855,210,0.011137629,2459,84542,18195,0.031128405
2020-05-17,272,482.8,10,276,15797,352,0.022282712,2544,80947,18772,0.036231884
2020-05-18,356,492.1,11,177,17178,334,0.019443474,2490,76645,18831,0.062146893
2020-05-19,382,502,12,275,21637,489,0.022600176,2414,76957,18984,0.043636364
2020-05-20,471,514.3,14,280,22369,414,0.018507756,2330,77461,19729,0.05
2020-05-21,403,524.8,10,269,22341,396,0.017725258,2261,77768,19500,0.037174721
2020-05-22,471,537.1,10,279,31368,459,0.014632747,2271,80635,19836,0.035842294
2020-05-23,315,545.3,11,246,16502,398,0.024118289,2242,79326,19529,0.044715447
2020-05-24,361,554.7,3,217,12135,204,0.016810878,2268,78259,19587,0.013824885
2020-05-25,341,563.5,11,82,22177,427,0.019254182,2171,78864,19139,0.134146341
2020-05-26,443,575.1,17,744,23021,436,0.018939229,2320,79007,19682,0.022849462
2020-05-27,397,585.4,4,310,21958,297,0.013525822,2248,79818,19373,0.012903226
2020-05-28,352,594.6,10,230,26724,364,0.013620715,2035,79995,18224,0.043478261
2020-05-29,332,603.3,13,132,25613,412,0.016085582,2207,80182,19161,0.098484848
2020-05-30,412,614,10,324,16477,310,0.018814105,2134,78823,18947,0.030864198
2020-05-31,219,619.7,3,255,15974,301,0.01884312,2181,77406,18859,0.011764706
2020-06-01,375,629.5,10,178,14435,284,0.019674402,2219,78470,18692,0.056179775
2020-06-02,236,635.6,18,277,21222,274,0.01291113,2150,78691,18642,0.064981949
2020-06-03,292,643.2,23,288,29427,281,0.009549054,2101,79341,18721,0.079861111
2020-06-04,361,652.6,2,213,18333,351,0.019145803,2085,81244,19274,0.009389671
2020-06-05,362,662.1,20,183,23344,492,0.02107608,2128,81820,19994,0.109289617
2020-06-06,576,677.1,14,231,18115,580,0.032017665,2007,82759,20079,0.060606061
2020-06-07,575,692.1,4,214,14404,531,0.03686476,1881,82921,19703,0.018691589
2020-06-08,599,707.7,9,143,17053,585,0.034304814,2039,84913,19496,0.062937063
2020-06-09,400,718.1,19,198,22056,303,0.013737758,1993,86002,19336,0.095959596
2020-06-10,282,725.4,23,215,19130,533,0.027861997,1700,88074,18234,0.106976744
2020-06-11,359,734.8,9,285,21944,376,0.017134524,1629,89609,19072,0.031578947
2020-06-12,376,744.6,7,109,18105,440,0.024302679,1711,92654,18904,0.064220183
2020-06-13,440,756,15,299,19654,375,0.019080085,1748,93094,18666,0.050167224
2020-06-14,375,765.8,10,122,13282,396,0.029814787,1736,94518,17966,0.081967213
2020-06-15,396,776.1,9,157,19109,407,0.021298864,1806,95641,17261,0.057324841
